patent_id,title,abstract,filing_date,year
US79446255B2,AI Fabric for Advanced Computing,A ai fabric for advanced computing that provides enhanced performance and efficiency in modern applications.,2012-05-01,2012
US34955336B2,Robotic Device for Advanced Computing,A robotic device for advanced computing that provides enhanced performance and efficiency in modern applications.,2012-01-13,2012
US81486482B2,AI Device for Advanced Computing,A ai device for advanced computing that provides enhanced performance and efficiency in modern applications.,2005-08-09,2005
US24831208B2,Neural Network for Advanced Computing,A neural network for advanced computing that provides enhanced performance and efficiency in modern applications.,2019-07-05,2019
US16128866B2,Bio Fabric for Advanced Computing,A bio fabric for advanced computing that provides enhanced performance and efficiency in modern applications.,2000-05-07,2000
US48743865B2,Nano Device for Advanced Computing,A nano device for advanced computing that provides enhanced performance and efficiency in modern applications.,2014-06-30,2014
US19611018B2,Blockchain Processor for Advanced Computing,A blockchain processor for advanced computing that provides enhanced performance and efficiency in modern applications.,2013-07-01,2013
US71384539B2,Robotic Processor for Advanced Computing,A robotic processor for advanced computing that provides enhanced performance and efficiency in modern applications.,2015-07-22,2015
US80695116B2,Robotic Processor for Advanced Computing,A robotic processor for advanced computing that provides enhanced performance and efficiency in modern applications.,2007-11-19,2007
US74775628B2,Quantum Sensor for Advanced Computing,A quantum sensor for advanced computing that provides enhanced performance and efficiency in modern applications.,2022-10-14,2022
US70081043B2,Robotic Processor for Advanced Computing,A robotic processor for advanced computing that provides enhanced performance and efficiency in modern applications.,2014-10-17,2014
US42318580B2,Cloud Fabric for Advanced Computing,A cloud fabric for advanced computing that provides enhanced performance and efficiency in modern applications.,2000-06-19,2000
US75787543B2,Cyber Processor for Advanced Computing,A cyber processor for advanced computing that provides enhanced performance and efficiency in modern applications.,2003-12-27,2003
US18950004B2,Nano Device for Advanced Computing,A nano device for advanced computing that provides enhanced performance and efficiency in modern applications.,2009-12-11,2009
US76366120B2,Nano Vehicle for Advanced Computing,A nano vehicle for advanced computing that provides enhanced performance and efficiency in modern applications.,2010-03-21,2010
US64074496B2,Autonomous Sensor for Advanced Computing,A autonomous sensor for advanced computing that provides enhanced performance and efficiency in modern applications.,2000-09-21,2000
US45498757B2,Nano Sensor for Advanced Computing,A nano sensor for advanced computing that provides enhanced performance and efficiency in modern applications.,2006-10-28,2006
US96509603B2,Autonomous Fabric for Advanced Computing,A autonomous fabric for advanced computing that provides enhanced performance and efficiency in modern applications.,2000-09-20,2000
US36950597B2,Cyber Processor for Advanced Computing,A cyber processor for advanced computing that provides enhanced performance and efficiency in modern applications.,2001-01-09,2001
US23999017B2,Nano Algorithm for Advanced Computing,A nano algorithm for advanced computing that provides enhanced performance and efficiency in modern applications.,2007-08-16,2007
US52058835B2,Robotic Network for Advanced Computing,A robotic network for advanced computing that provides enhanced performance and efficiency in modern applications.,2017-05-07,2017
US39951833B2,Quantum Algorithm for Advanced Computing,A quantum algorithm for advanced computing that provides enhanced performance and efficiency in modern applications.,2016-04-09,2016
US10904676B2,Neural Processor for Advanced Computing,A neural processor for advanced computing that provides enhanced performance and efficiency in modern applications.,2002-12-11,2002
US82706518B2,Autonomous Interface for Advanced Computing,A autonomous interface for advanced computing that provides enhanced performance and efficiency in modern applications.,2001-09-21,2001
